Dependency metrics,sexta, 7 nov. 2025 11:40:11 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
mindustry.ui.GridImage,0,0,0,1,1 077,0,1
mindustry.ui.IntFormat,0,0,0,1,1 077,0,1
mindustry.ui.ItemsDisplay,909,9,1 151,2,1 076,6,1
mindustry.ui.Links,0,2,2,1,1 077,2,1
mindustry.ui.Links.LinkEntry,0,0,0,2,1 078,0,2
mindustry.ui.Menus,0,10,1 156,0,0,6,0
mindustry.ui.Minimap,909,8,1 151,1,1 076,5,1
mindustry.ui.MobileButton,0,0,0,1,1 077,0,1
mindustry.ui.MultiReqImage,0,1,2,5,1 077,1,2
mindustry.ui.ReqImage,0,1,1,14,1 078,1,4
mindustry.ui.Styles,909,2,1 151,103,1 076,2,19
mindustry.ui.WarningBar,0,1,1,1,1 077,1,1
mindustry.ui.dialogs.AboutDialog,909,8,1 151,1,1 076,6,1
mindustry.ui.dialogs.AdminsDialog,909,6,1 151,1,1 076,4,1
mindustry.ui.dialogs.BansDialog,909,6,1 151,1,1 076,4,1
mindustry.ui.dialogs.BaseDialog,909,6,1 151,52,1 076,5,9
mindustry.ui.dialogs.CampaignCompleteDialog,909,9,1 151,2,1 076,7,1
mindustry.ui.dialogs.CampaignRulesDialog,909,7,1 151,1,1 076,6,1
mindustry.ui.dialogs.ColorPicker,909,1,1 151,6,1 076,1,6
mindustry.ui.dialogs.ContentInfoDialog,909,10,1 151,7,1 076,6,5
mindustry.ui.dialogs.CustomGameDialog,909,3,1 151,1,1 076,2,1
mindustry.ui.dialogs.CustomRulesDialog,909,27,1 151,3,1 076,12,2
mindustry.ui.dialogs.DatabaseDialog,909,17,1 151,1,1 076,9,1
mindustry.ui.dialogs.DiscordDialog,909,3,1 151,1,1 076,3,1
mindustry.ui.dialogs.EditorMapsDialog,909,13,1 151,1,1 076,8,1
mindustry.ui.dialogs.EffectsDialog,909,10,1 151,3,1 076,6,3
mindustry.ui.dialogs.EffectsDialog.BoundsBatch,0,0,0,1,1 077,0,1
mindustry.ui.dialogs.EffectsDialog.EffectCell,909,3,1 151,1,1 076,3,1
mindustry.ui.dialogs.FileChooser,909,4,1 151,2,1 076,2,2
mindustry.ui.dialogs.FileChooser.FileHistory,909,1,1 151,1,1 076,1,1
mindustry.ui.dialogs.FullTextDialog,909,1,1 151,2,1 076,1,2
mindustry.ui.dialogs.GameOverDialog,909,22,1 151,2,1 076,8,1
mindustry.ui.dialogs.GameOverDialog.StatLabel,909,2,1 151,1,1 076,2,1
mindustry.ui.dialogs.HostDialog,909,11,1 151,1,1 076,7,1
mindustry.ui.dialogs.IconSelectDialog,909,6,1 151,1,1 076,5,1
mindustry.ui.dialogs.JoinDialog,909,20,1 151,4,1 076,9,3
mindustry.ui.dialogs.JoinDialog.Server,909,2,1 151,2,1 076,2,2
mindustry.ui.dialogs.KeybindDialog,909,2,1 151,1,1 076,2,1
mindustry.ui.dialogs.LanguageDialog,909,4,1 151,2,1 076,4,2
mindustry.ui.dialogs.LaunchLoadoutDialog,909,24,1 151,1,1 076,12,1
mindustry.ui.dialogs.LoadDialog,909,19,1 151,4,1 076,8,3
mindustry.ui.dialogs.LoadoutDialog,909,10,1 151,2,1 076,6,1
mindustry.ui.dialogs.MapListDialog,909,11,1 151,2,1 076,8,1
mindustry.ui.dialogs.MapPlayDialog,909,10,1 151,2,1 076,6,2
mindustry.ui.dialogs.ModsDialog,909,23,1 151,2,1 076,11,2
mindustry.ui.dialogs.PaletteDialog,909,3,1 151,2,1 076,2,1
mindustry.ui.dialogs.PausedDialog,909,22,1 151,3,1 076,9,2
mindustry.ui.dialogs.PlanetDialog,909,54,1 151,9,1 076,17,5
mindustry.ui.dialogs.PlanetDialog.Mode,0,0,0,1,1 077,0,1
mindustry.ui.dialogs.ResearchDialog,909,33,1 151,4,1 076,14,2
mindustry.ui.dialogs.ResearchDialog.LayoutNode,909,3,1 151,1,1 076,2,1
mindustry.ui.dialogs.ResearchDialog.TechTreeNode,909,4,1 151,3,1 076,3,1
mindustry.ui.dialogs.ResearchDialog.View,909,21,1 151,1,1 076,11,1
mindustry.ui.dialogs.SaveDialog,909,8,1 151,1,1 076,5,1
mindustry.ui.dialogs.SchematicsDialog,909,22,1 151,4,1 076,10,3
mindustry.ui.dialogs.SchematicsDialog.SchematicImage,909,4,1 151,3,1 076,3,1
mindustry.ui.dialogs.SchematicsDialog.SchematicInfoDialog,909,11,1 151,1,1 076,7,1
mindustry.ui.dialogs.SectorSelectDialog,909,9,1 151,1,1 076,7,1
mindustry.ui.dialogs.SettingsMenuDialog,909,28,1 151,1,1 076,10,1
mindustry.ui.dialogs.SettingsMenuDialog.SettingsCategory,909,1,1 151,1,1 076,1,1
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable,909,6,1 151,7,1 076,1,1
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable.AreaTextSetting,909,3,1 151,1,1 076,1,1
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable.CheckSetting,909,2,1 151,1,1 076,1,1
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable.Setting,909,3,1 151,5,1 076,3,1
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable.SliderSetting,909,4,1 151,1,1 076,2,1
mindustry.ui.dialogs.SettingsMenuDialog.SettingsTable.TextSetting,909,2,1 151,2,1 076,1,1
mindustry.ui.dialogs.TraceDialog,909,5,1 151,2,1 076,5,1
mindustry.ui.fragments.BlockConfigFragment,909,3,1 151,9,1 076,3,8
mindustry.ui.fragments.BlockInventoryFragment,909,10,1 151,3,1 076,6,2
mindustry.ui.fragments.ChatFragment,909,10,1 151,10,1 076,7,4
mindustry.ui.fragments.ChatFragment.ChatMode,909,2,1 151,1,1 076,1,1
mindustry.ui.fragments.ConsoleFragment,909,8,1 151,6,1 076,7,5
mindustry.ui.fragments.FadeInFragment,0,0,0,1,1 077,0,1
mindustry.ui.fragments.HintsFragment,909,25,1 151,3,1 076,11,2
mindustry.ui.fragments.HintsFragment.DefaultHint,909,25,1 151,1,1 076,14,1
mindustry.ui.fragments.HudFragment,909,57,1 151,11,1 076,16,7
mindustry.ui.fragments.LoadingFragment,909,5,1 151,14,1 076,2,8
mindustry.ui.fragments.MenuFragment,909,13,1 151,1,1 076,8,1
mindustry.ui.fragments.MenuFragment.MenuButton,0,0,0,1,1 077,0,1
mindustry.ui.fragments.MinimapFragment,909,10,1 151,6,1 076,6,5
mindustry.ui.fragments.PlacementFragment,909,41,1 151,3,1 076,19,3
mindustry.ui.fragments.PlanConfigFragment,909,8,1 151,3,1 076,8,2
mindustry.ui.fragments.PlayerListFragment,909,15,1 151,4,1 076,8,4
mindustry.ui.layout.BranchTreeLayout,0,5,5,1,1 077,1,1
mindustry.ui.layout.BranchTreeLayout.TreeAlignment,0,0,0,1,1 078,0,1
mindustry.ui.layout.BranchTreeLayout.TreeLocation,0,0,0,2,1 078,0,2
mindustry.ui.layout.RadialTreeLayout,0,3,3,0,0,1,0
mindustry.ui.layout.RowTreeLayout,0,2,3,0,0,1,0
mindustry.ui.layout.TreeLayout.TreeNode,0,1,1,8,1 081,0,2
mindustry.world.Block,909,60,1 151,418,1 076,18,48
mindustry.world.Build,909,25,1 151,11,1 076,11,8
mindustry.world.CachedTile,909,6,1 151,3,1 076,3,3
mindustry.world.ColorMapper,909,4,1 151,2,1 076,4,2
mindustry.world.DirectionalItemBuffer,909,4,1 151,3,1 076,3,1
mindustry.world.DirectionalItemBuffer.BufferItemLegacyStruct,0,0,0,0,0,0,0
mindustry.world.DirectionalItemBuffer.BufferItemStruct,0,0,0,0,0,0,0
mindustry.world.Edges,909,5,1 151,18,1 076,3,8
mindustry.world.ItemBuffer,909,4,1 151,1,1 076,3,1
mindustry.world.ItemBuffer.TimeItemStruct,0,0,0,0,0,0,0
mindustry.world.Tile,909,28,1 151,225,1 076,12,41
mindustry.world.Tile.PackedTileDataStruct,0,0,0,0,0,0,0
mindustry.world.TileGen,909,2,1 151,4,1 076,2,2
mindustry.world.Tiles,909,3,1 151,38,1 076,1,13
mindustry.world.Tiles.TileIterator,909,3,1 151,1,1 076,1,1
mindustry.world.WorldParams,0,0,0,9,1 077,0,4
mindustry.world.blocks.Attributes,909,2,1 151,18,1 076,1,11
mindustry.world.blocks.Autotiler.AutotilerHolder,909,1,1 151,2,1 076,1,2
mindustry.world.blocks.Autotiler.SliceMode,0,0,0,6,1 077,0,4
mindustry.world.blocks.ConstructBlock,909,13,1 151,11,1 076,9,8
mindustry.world.blocks.ConstructBlock.ConstructBuild,909,25,1 151,15,1 076,17,11
mindustry.world.blocks.ItemSelection,909,8,1 151,14,1 076,7,8
mindustry.world.blocks.TileBitmask,0,0,0,4,1 077,0,2
mindustry.world.blocks.campaign.Accelerator,909,10,1 151,3,1 076,8,3
mindustry.world.blocks.campaign.Accelerator.AcceleratorBuild,909,30,1 151,1,1 076,15,1
mindustry.world.blocks.campaign.LandingPad,909,21,1 151,3,1 076,13,3
mindustry.world.blocks.campaign.LandingPad.LandingPadBuild,909,24,1 151,2,1 076,15,2
mindustry.world.blocks.campaign.LaunchPad,909,10,1 151,4,1 076,7,3
mindustry.world.blocks.campaign.LaunchPad.LaunchPadBuild,909,19,1 151,2,1 076,14,2
mindustry.world.blocks.campaign.LaunchPad.LaunchPayloadComp,0,16,1 152,0,0,8,0
mindustry.world.blocks.defense.AutoDoor,909,7,1 151,2,1 076,5,2
mindustry.world.blocks.defense.AutoDoor.AutoDoorBuild,909,6,1 151,2,1 076,6,2
mindustry.world.blocks.defense.BaseShield,909,5,1 151,3,1 076,5,3
mindustry.world.blocks.defense.BaseShield.BaseShieldBuild,909,7,1 151,2,1 076,6,2
mindustry.world.blocks.defense.BuildTurret,909,9,1 151,3,1 076,6,3
mindustry.world.blocks.defense.BuildTurret.BuildTurretBuild,909,20,1 151,1,1 076,12,1
mindustry.world.blocks.defense.DirectionalForceProjector,909,14,1 151,3,1 076,9,3
mindustry.world.blocks.defense.DirectionalForceProjector.DirectionalForceProjectorBuild,909,6,1 151,2,1 076,6,2
mindustry.world.blocks.defense.Door,909,10,1 151,4,1 076,8,4
mindustry.world.blocks.defense.Door.DoorBuild,909,6,1 151,2,1 076,6,2
mindustry.world.blocks.defense.ForceProjector,909,18,1 151,4,1 076,10,4
mindustry.world.blocks.defense.ForceProjector.ForceBuild,909,15,1 151,2,1 076,11,2
mindustry.world.blocks.defense.MendProjector,909,14,1 151,4,1 076,7,4
mindustry.world.blocks.defense.MendProjector.MendBuild,909,8,1 151,1,1 076,7,1
mindustry.world.blocks.defense.OverdriveProjector,909,16,1 151,3,1 076,9,3
mindustry.world.blocks.defense.OverdriveProjector.OverdriveBuild,909,5,1 151,2,1 076,5,2
mindustry.world.blocks.defense.Radar,909,5,1 151,2,1 076,4,2
mindustry.world.blocks.defense.Radar.RadarBuild,909,7,1 151,1,1 076,5,1
mindustry.world.blocks.defense.RegenProjector,909,19,1 151,3,1 076,10,3
mindustry.world.blocks.defense.RegenProjector.RegenProjectorBuild,909,7,1 151,1,1 076,6,1
mindustry.world.blocks.defense.ShieldWall,909,5,1 151,2,1 076,4,2
mindustry.world.blocks.defense.ShieldWall.ShieldWallBuild,909,7,1 151,1,1 076,5,1
mindustry.world.blocks.defense.ShockMine,909,3,1 151,4,1 076,3,4
mindustry.world.blocks.defense.ShockMine.ShockMineBuild,909,2,1 151,1,1 076,2,1
mindustry.world.blocks.defense.ShockwaveTower,909,10,1 151,3,1 076,7,3
mindustry.world.blocks.defense.ShockwaveTower.ShockwaveTowerBuild,909,9,1 151,1,1 076,7,1
mindustry.world.blocks.defense.Thruster,909,3,1 151,2,1 076,3,2
mindustry.world.blocks.defense.Thruster.ThrusterBuild,909,2,1 151,1,1 076,1,1
mindustry.world.blocks.defense.Wall,909,10,1 151,8,1 076,5,4
mindustry.world.blocks.defense.Wall.WallBuild,909,5,1 151,4,1 076,5,3
mindustry.world.blocks.defense.turrets.BaseTurret,909,18,1 151,22,1 076,10,4
mindustry.world.blocks.defense.turrets.BaseTurret.BaseTurretBuild,909,4,1 151,11,1 076,4,5
mindustry.world.blocks.defense.turrets.ContinuousLiquidTurret,909,12,1 151,4,1 076,8,3
mindustry.world.blocks.defense.turrets.ContinuousLiquidTurret.ContinuousLiquidTurretBuild,909,9,1 151,1,1 076,5,1
mindustry.world.blocks.defense.turrets.ContinuousTurret,909,10,1 151,5,1 076,6,3
mindustry.world.blocks.defense.turrets.ContinuousTurret.ContinuousTurretBuild,909,12,1 151,2,1 076,4,2
mindustry.world.blocks.defense.turrets.ItemTurret,909,21,1 151,5,1 076,11,3
mindustry.world.blocks.defense.turrets.ItemTurret.ItemEntry,909,4,1 151,3,1 076,3,2
mindustry.world.blocks.defense.turrets.ItemTurret.ItemTurretBuild,909,13,1 151,2,1 076,9,2
mindustry.world.blocks.defense.turrets.LaserTurret,909,11,1 151,3,1 076,5,3
mindustry.world.blocks.defense.turrets.LaserTurret.LaserTurretBuild,909,14,1 151,1,1 076,6,1
mindustry.world.blocks.defense.turrets.LiquidTurret,909,10,1 151,3,1 076,7,3
mindustry.world.blocks.defense.turrets.LiquidTurret.LiquidTurretBuild,909,12,1 151,1,1 076,8,1
mindustry.world.blocks.defense.turrets.PayloadAmmoTurret,909,16,1 151,2,1 076,10,2
mindustry.world.blocks.defense.turrets.PayloadAmmoTurret.PayloadTurretBuild,909,9,1 151,2,1 076,7,2
mindustry.world.blocks.defense.turrets.PointDefenseTurret,909,9,1 151,4,1 076,6,4
mindustry.world.blocks.defense.turrets.PointDefenseTurret.PointDefenseBuild,909,11,1 151,1,1 076,7,1
mindustry.world.blocks.defense.turrets.PowerTurret,909,7,1 151,4,1 076,5,3
mindustry.world.blocks.defense.turrets.PowerTurret.PowerTurretBuild,909,4,1 151,2,1 076,3,2
mindustry.world.blocks.defense.turrets.ReloadTurret,909,6,1 151,9,1 076,4,3
mindustry.world.blocks.defense.turrets.ReloadTurret.ReloadTurretBuild,909,9,1 151,4,1 076,5,2
mindustry.world.blocks.defense.turrets.TractorBeamTurret,909,10,1 151,3,1 076,7,3
mindustry.world.blocks.defense.turrets.TractorBeamTurret.TractorBeamBuild,909,15,1 151,1,1 076,11,1
mindustry.world.blocks.defense.turrets.Turret,909,23,1 151,18,1 076,13,6
mindustry.world.blocks.defense.turrets.Turret.AmmoEntry,909,1,1 151,5,1 076,1,2
mindustry.world.blocks.defense.turrets.Turret.BulletEntry,0,0,0,4,1 077,0,2
mindustry.world.blocks.defense.turrets.Turret.TurretBuild,909,30,1 151,13,1 076,15,5
mindustry.world.blocks.distribution.ArmoredConveyor,909,5,1 151,1,1 076,3,1
mindustry.world.blocks.distribution.ArmoredConveyor.ArmoredConveyorBuild,909,5,1 151,1,1 076,3,1
mindustry.world.blocks.distribution.BufferedItemBridge,909,6,1 151,3,1 076,4,3
mindustry.world.blocks.distribution.BufferedItemBridge.BufferedItemBridgeBuild,909,4,1 151,1,1 076,3,1
mindustry.world.blocks.distribution.Conveyor,909,17,1 151,8,1 076,9,5
mindustry.world.blocks.distribution.Conveyor.ConveyorBuild,909,15,1 151,3,1 076,9,2
mindustry.world.blocks.distribution.DirectionBridge,909,13,1 151,8,1 076,9,5
mindustry.world.blocks.distribution.DirectionBridge.DirectionBridgeBuild,909,6,1 151,4,1 076,4,2
mindustry.world.blocks.distribution.DirectionLiquidBridge,909,3,1 151,3,1 076,3,3
mindustry.world.blocks.distribution.DirectionLiquidBridge.DuctBridgeBuild,909,7,1 151,1,1 076,5,1
mindustry.world.blocks.distribution.DirectionalUnloader,909,11,1 151,3,1 076,7,3
mindustry.world.blocks.distribution.DirectionalUnloader.DirectionalUnloaderBuild,909,9,1 151,2,1 076,8,2
mindustry.world.blocks.distribution.Duct,909,19,1 151,4,1 076,9,3
mindustry.world.blocks.distribution.Duct.DuctBuild,909,10,1 151,1,1 076,8,1
mindustry.world.blocks.distribution.DuctBridge,909,6,1 151,5,1 076,4,3
mindustry.world.blocks.distribution.DuctBridge.DuctBridgeBuild,909,4,1 151,1,1 076,3,1
mindustry.world.blocks.distribution.DuctJunction,909,7,1 151,3,1 076,4,2
mindustry.world.blocks.distribution.DuctJunction.DuctJunctionBuild,909,6,1 151,1,1 076,6,1
mindustry.world.blocks.distribution.DuctRouter,909,12,1 151,5,1 076,7,3
mindustry.world.blocks.distribution.DuctRouter.DuctRouterBuild,909,9,1 151,3,1 076,7,2
mindustry.world.blocks.distribution.ItemBridge,909,16,1 151,10,1 076,10,6
mindustry.world.blocks.distribution.ItemBridge.ItemBridgeBuild,909,12,1 151,4,1 076,6,3
mindustry.world.blocks.distribution.Junction,909,6,1 151,4,1 076,3,3
mindustry.world.blocks.distribution.Junction.JunctionBuild,909,4,1 151,1,1 076,4,1
mindustry.world.blocks.distribution.MassDriver,909,16,1 151,4,1 076,12,4
mindustry.world.blocks.distribution.MassDriver.DriverBulletData,909,3,1 151,3,1 076,3,3
mindustry.world.blocks.distribution.MassDriver.DriverState,0,0,0,2,1 077,0,2
mindustry.world.blocks.distribution.MassDriver.MassDriverBuild,909,16,1 151,4,1 076,10,3
mindustry.world.blocks.distribution.OverflowDuct,909,9,1 151,3,1 076,5,3
mindustry.world.blocks.distribution.OverflowDuct.OverflowDuctBuild,909,5,1 151,1,1 076,3,1
mindustry.world.blocks.distribution.OverflowGate,909,2,1 151,3,1 076,2,3
mindustry.world.blocks.distribution.OverflowGate.OverflowGateBuild,909,3,1 151,1,1 076,3,1
mindustry.world.blocks.distribution.Router,909,2,1 151,2,1 076,2,2
mindustry.world.blocks.distribution.Router.RouterBuild,909,8,1 151,1,1 076,5,1
mindustry.world.blocks.distribution.Sorter,909,6,1 151,4,1 076,5,4
mindustry.world.blocks.distribution.Sorter.SorterBuild,909,10,1 151,2,1 076,8,2
mindustry.world.blocks.distribution.StackConveyor,909,16,1 151,5,1 076,11,3
mindustry.world.blocks.distribution.StackConveyor.StackConveyorBuild,909,13,1 151,2,1 076,9,2
mindustry.world.blocks.distribution.StackRouter,909,3,1 151,3,1 076,3,3
mindustry.world.blocks.distribution.StackRouter.StackRouterBuild,909,8,1 151,1,1 076,4,1
mindustry.world.blocks.environment.AirBlock,909,4,1 151,2,1 076,3,2
mindustry.world.blocks.environment.CharacterOverlay,909,7,1 151,1,1 076,6,1
mindustry.world.blocks.environment.CharacterOverlay.CharOverlayDataStruct,0,0,0,0,0,0,0
mindustry.world.blocks.environment.Cliff,909,3,1 151,1,1 076,2,1
mindustry.world.blocks.environment.ColoredFloor,0,11,1 152,1,1,8,1
mindustry.world.blocks.environment.ColoredWall,0,5,1 153,0,0,3,0
mindustry.world.blocks.environment.EmptyFloor,909,4,1 151,2,1 076,3,2
mindustry.world.blocks.environment.Floor,909,20,1 151,75,1 076,10,26
mindustry.world.blocks.environment.Floor.UpdateRenderState,909,2,1 151,4,1 076,2,3
mindustry.world.blocks.environment.OreBlock,909,10,1 151,8,1 076,6,8
mindustry.world.blocks.environment.OverlayFloor,909,5,1 151,18,1 076,3,10
mindustry.world.blocks.environment.Prop,909,6,1 151,5,1 076,4,2
mindustry.world.blocks.environment.RemoveOre,909,7,1 151,3,1 076,5,3
mindustry.world.blocks.environment.RemoveWall,909,7,1 151,3,1 076,5,3
mindustry.world.blocks.environment.RuneOverlay,909,7,1 151,1,1 076,6,1
mindustry.world.blocks.environment.SeaBush,909,3,1 151,2,1 076,2,2
mindustry.world.blocks.environment.Seaweed,909,4,1 151,1,1 076,2,1
mindustry.world.blocks.environment.ShallowLiquid,909,5,1 151,3,1 076,4,3
mindustry.world.blocks.environment.SpawnBlock,909,5,1 151,2,1 076,3,2
mindustry.world.blocks.environment.StaticTree,909,5,1 151,2,1 076,3,2
mindustry.world.blocks.environment.StaticWall,909,11,1 151,9,1 076,8,7
mindustry.world.blocks.environment.SteamVent,909,12,1 151,3,1 076,8,3
mindustry.world.blocks.environment.TallBlock,909,5,1 151,3,1 076,3,3
mindustry.world.blocks.environment.TreeBlock,909,4,1 151,2,1 076,2,2
mindustry.world.blocks.environment.WobbleProp,909,4,1 151,1,1 076,2,1
mindustry.world.blocks.heat.HeatConductor,909,7,1 151,4,1 076,6,4
mindustry.world.blocks.heat.HeatConductor.HeatConductorBuild,909,6,1 151,3,1 076,4,3
mindustry.world.blocks.heat.HeatProducer,909,12,1 151,3,1 076,8,3
mindustry.world.blocks.heat.HeatProducer.HeatProducerBuild,909,3,1 151,2,1 076,2,2
mindustry.world.blocks.legacy.LegacyBlock,909,3,1 151,8,1 076,2,6
mindustry.world.blocks.legacy.LegacyCommandCenter,909,2,1 151,1,1 076,2,1
mindustry.world.blocks.legacy.LegacyCommandCenter.CommandBuild,0,0,0,1,1 077,0,1
mindustry.world.blocks.legacy.LegacyMechPad,909,2,1 151,2,1 076,2,2
mindustry.world.blocks.legacy.LegacyMechPad.LegacyMechPadBuild,0,0,0,1,1 077,0,1
mindustry.world.blocks.legacy.LegacyUnitFactory,909,4,1 151,2,1 076,3,2
mindustry.world.blocks.legacy.LegacyUnitFactory.LegacyUnitFactoryBuild,0,0,0,1,1 077,0,1
mindustry.world.blocks.liquid.ArmoredConduit,909,5,1 151,1,1 076,3,1
mindustry.world.blocks.liquid.ArmoredConduit.ArmoredConduitBuild,909,5,1 151,1,1 076,3,1
mindustry.world.blocks.liquid.Conduit,909,14,1 151,6,1 076,11,4
mindustry.world.blocks.liquid.Conduit.ConduitBuild,909,12,1 151,3,1 076,8,3
mindustry.world.blocks.liquid.LiquidBlock,909,7,1 151,14,1 076,6,7
mindustry.world.blocks.liquid.LiquidBlock.LiquidBuild,909,3,1 151,4,1 076,3,3
mindustry.world.blocks.liquid.LiquidBridge,909,4,1 151,1,1 076,3,1
mindustry.world.blocks.liquid.LiquidBridge.LiquidBridgeBuild,909,1,1 151,1,1 076,1,1
mindustry.world.blocks.liquid.LiquidJunction,909,5,1 151,5,1 076,4,2
mindustry.world.blocks.liquid.LiquidJunction.LiquidJunctionBuild,909,3,1 151,1,1 076,3,1
mindustry.world.blocks.liquid.LiquidRouter,909,2,1 151,3,1 076,2,3
mindustry.world.blocks.liquid.LiquidRouter.LiquidRouterBuild,909,5,1 151,1,1 076,3,1
mindustry.world.blocks.logic.CanvasBlock,909,5,1 151,3,1 076,4,3
mindustry.world.blocks.logic.CanvasBlock.CanvasBuild,909,14,1 151,2,1 076,7,2
mindustry.world.blocks.logic.LogicBlock,909,17,1 151,6,1 076,8,5
mindustry.world.blocks.logic.LogicBlock.LogicBuild,909,25,1 151,8,1 076,11,5
mindustry.world.blocks.logic.LogicBlock.LogicLink,0,0,0,3,1 077,0,2
mindustry.world.blocks.logic.LogicDisplay,909,6,1 151,5,1 076,3,4
mindustry.world.blocks.logic.LogicDisplay.DisplayCmdStruct,0,0,0,0,0,0,0
mindustry.world.blocks.logic.LogicDisplay.GraphicsType,0,0,0,2,1 077,0,2
mindustry.world.blocks.logic.LogicDisplay.LogicDisplayBuild,909,11,1 151,4,1 076,7,3
mindustry.world.blocks.logic.MemoryBlock,909,11,1 151,3,1 076,6,3
mindustry.world.blocks.logic.MemoryBlock.MemoryBuild,909,8,1 151,1,1 076,3,1
mindustry.world.blocks.logic.MessageBlock,909,8,1 151,2,1 076,6,2
mindustry.world.blocks.logic.MessageBlock.MessageBuild,909,12,1 151,3,1 076,7,3
mindustry.world.blocks.logic.SwitchBlock,909,8,1 151,2,1 076,6,2
mindustry.world.blocks.logic.SwitchBlock.SwitchBuild,909,2,1 151,2,1 076,2,2
mindustry.world.blocks.logic.TileableLogicDisplay,1,4,1 154,1,1,1,1
mindustry.world.blocks.logic.TileableLogicDisplay.MergeBuffer,0,0,0,2,2,0,1
mindustry.world.blocks.logic.TileableLogicDisplay.TileableLogicDisplayBuild,1,10,1 154,1,1,7,1
mindustry.world.blocks.payloads.BlockProducer,909,12,1 151,5,1 076,10,4
mindustry.world.blocks.payloads.BlockProducer.BlockProducerBuild,909,15,1 151,5,1 076,6,3
mindustry.world.blocks.payloads.BuildPayload,909,11,1 151,15,1 076,8,4
mindustry.world.blocks.payloads.Constructor,909,12,1 151,3,1 076,8,3
mindustry.world.blocks.payloads.Constructor.ConstructorBuild,909,8,1 151,2,1 076,6,2
mindustry.world.blocks.payloads.PayloadBlock,909,10,1 151,27,1 076,6,6
mindustry.world.blocks.payloads.PayloadBlock.PayloadBlockBuild,909,8,1 151,16,1 076,5,4
mindustry.world.blocks.payloads.PayloadConveyor,909,14,1 151,7,1 076,7,5
mindustry.world.blocks.payloads.PayloadConveyor.PayloadConveyorBuild,909,10,1 151,2,1 076,5,2
mindustry.world.blocks.payloads.PayloadDeconstructor,909,5,1 151,3,1 076,4,3
mindustry.world.blocks.payloads.PayloadDeconstructor.PayloadDeconstructorBuild,909,19,1 151,2,1 076,11,2
mindustry.world.blocks.payloads.PayloadLoader,909,9,1 151,4,1 076,6,2
mindustry.world.blocks.payloads.PayloadLoader.PayloadLoaderBuild,909,14,1 151,3,1 076,8,2
mindustry.world.blocks.payloads.PayloadMassDriver,909,22,1 151,3,1 076,12,3
mindustry.world.blocks.payloads.PayloadMassDriver.PayloadDriverBuild,909,15,1 151,2,1 076,8,2
mindustry.world.blocks.payloads.PayloadMassDriver.PayloadDriverState,0,0,0,2,1 077,0,2
mindustry.world.blocks.payloads.PayloadMassDriver.PayloadMassDriverData,909,1,1 151,3,1 076,1,2
mindustry.world.blocks.payloads.PayloadRouter,909,11,1 151,2,1 076,9,2
mindustry.world.blocks.payloads.PayloadRouter.PayloadRouterBuild,909,15,1 151,2,1 076,8,2
mindustry.world.blocks.payloads.PayloadSource,909,12,1 151,1,1 076,9,1
mindustry.world.blocks.payloads.PayloadSource.PayloadSourceBuild,909,14,1 151,2,1 076,9,2
mindustry.world.blocks.payloads.PayloadUnloader,909,2,1 151,2,1 076,2,2
mindustry.world.blocks.payloads.PayloadUnloader.PayloadUnloaderBuild,909,11,1 151,2,1 076,6,2
mindustry.world.blocks.payloads.PayloadVoid,909,4,1 151,2,1 076,4,2
mindustry.world.blocks.payloads.PayloadVoid.PayloadVoidBuild,909,7,1 151,1,1 076,4,1
mindustry.world.blocks.payloads.UnitPayload,909,10,1 151,20,1 076,9,8
mindustry.world.blocks.power.Battery,909,10,1 151,4,1 076,5,4
mindustry.world.blocks.power.Battery.BatteryBuild,909,5,1 151,2,1 076,5,2
mindustry.world.blocks.power.BeamNode,909,18,1 151,4,1 076,10,4
mindustry.world.blocks.power.BeamNode.BeamNodeBuild,909,13,1 151,2,1 076,8,2
mindustry.world.blocks.power.ConsumeGenerator,909,15,1 151,5,1 076,8,4
mindustry.world.blocks.power.ConsumeGenerator.ConsumeGeneratorBuild,909,10,1 151,3,1 076,7,3
mindustry.world.blocks.power.HeaterGenerator,909,13,1 151,3,1 076,7,3
mindustry.world.blocks.power.HeaterGenerator.HeaterGeneratorBuild,909,4,1 151,2,1 076,2,2
mindustry.world.blocks.power.ImpactReactor,909,17,1 151,3,1 076,9,3
mindustry.world.blocks.power.ImpactReactor.ImpactReactorBuild,909,6,1 151,1,1 076,5,1
mindustry.world.blocks.power.LightBlock,909,8,1 151,4,1 076,6,4
mindustry.world.blocks.power.LightBlock.LightBuild,909,11,1 151,2,1 076,8,2
mindustry.world.blocks.power.LongPowerNode,909,3,1 151,2,1 076,3,2
mindustry.world.blocks.power.LongPowerNode.LongPowerNodeBuild,909,3,1 151,1,1 076,2,1
mindustry.world.blocks.power.NuclearReactor,909,14,1 151,3,1 076,8,3
mindustry.world.blocks.power.NuclearReactor.NuclearReactorBuild,909,8,1 151,2,1 076,7,2
mindustry.world.blocks.power.PowerBlock,909,2,1 151,5,1 076,2,3
